2024-10-18 11:41:24.925 [main] DEBUG controller.EmpleadoController - null
2024-10-18 11:41:24.927 [main] DEBUG controller.EmpleadoController - []
2024-10-18 11:41:58.806 [main] DEBUG controller.EmpleadoController - Empleado [identificador=empleado21, nombreApellido=Miguel Ramirez, edad=34, empresa=Su Empresa]
2024-10-18 11:41:58.809 [main] DEBUG controller.EmpleadoController - [Empleado [identificador=empleado21, nombreApellido=Miguel Ramirez, edad=34, empresa=Su Empresa], Empleado [identificador=empleado22, nombreApellido=Juan Lopez, edad=51, empresa=Su Empresa 2]]
2024-10-18 12:10:25.217 [main] DEBUG controller.EmpleadoController - Empleado [identificador=empleado21, nombreApellido=Miguel Ramirez, edad=34, empresa=Su Empresa]
2024-10-18 12:21:47.731 [main] DEBUG controller.EmpleadoController - Empleado [identificador=empleado21, nombreApellido=Miguel Ramirez, edad=34, empresa=Su Empresa]
2024-10-18 12:22:32.757 [main] DEBUG controller.EmpleadoController - Empleado [identificador=empleado21, nombreApellido=Miguel Ramirez, edad=34, empresa=Su Empresa]
2024-10-18 12:24:31.484 [main] DEBUG controller.EmpleadoController - Empleado [identificador=empleado21, nombreApellido=Miguel Ramirez, edad=34, empresa=Su Empresa]
2024-10-18 12:25:02.098 [main] DEBUG controller.EmpleadoController - Empleado [identificador=empleado21, nombreApellido=Miguel Ramirez, edad=34, empresa=Su Empresa]
2024-10-18 12:31:06.736 [main] DEBUG controller.EmpleadoController - Empleado [identificador=empleado21, nombreApellido=Miguel Ramirez, edad=34, empresa=Su Empresa]
2024-10-18 12:33:22.910 [main] DEBUG controller.EmpleadoController - Empleado [identificador=empleado21, nombreApellido=Miguel Ramirez, edad=34, empresa=Su Empresa]
2024-10-18 12:34:18.294 [main] DEBUG controller.EmpleadoController - Empleado [identificador=empleado21, nombreApellido=Miguel Ramirez, edad=34, empresa=Su Empresa]
2024-10-18 12:34:54.982 [main] DEBUG controller.EmpleadoController - Empleado [identificador=empleado21, nombreApellido=Miguel Ramirez, edad=34, empresa=Su Empresa]
2024-10-18 12:35:20.760 [main] DEBUG controller.EmpleadoController - Empleado [identificador=empleado21, nombreApellido=Miguel Ramirez, edad=34, empresa=Su Empresa]
2024-10-18 12:36:18.448 [main] DEBUG controller.EmpleadoController - Empleado [identificador=empleado21, nombreApellido=Miguel Ramirez, edad=34, empresa=Su Empresa]
2024-10-18 12:36:36.850 [main] DEBUG controller.EmpleadoController - Empleado [identificador=empleado21, nombreApellido=Miguel Ramirez, edad=34, empresa=Su Empresa]
2024-10-18 12:38:07.528 [main] DEBUG controller.EmpleadoController - Empleado [identificador=empleado21, nombreApellido=Miguel Ramirez, edad=34, empresa=Su Empresa]
2024-10-18 12:38:46.828 [main] DEBUG controller.EmpleadoController - Empleado [identificador=empleado21, nombreApellido=Miguel Ramirez, edad=34, empresa=Su Empresa]
2024-10-18 12:39:22.749 [main] DEBUG controller.EmpleadoController - Empleado [identificador=empleado21, nombreApellido=Miguel Ramirez, edad=34, empresa=Su Empresa]
2024-10-18 12:39:40.413 [main] DEBUG controller.EmpleadoController - Empleado [identificador=empleado21, nombreApellido=Miguel Ramirez, edad=34, empresa=Su Empresa]
