2024-11-09 11:09:15.617 [main] DEBUG utilidades.UtilesEstudiantes - Estudiante [nombre=Maria, edad=19, idEstudiante=002, curso=2º Carrera]
2024-11-09 11:09:15.619 [main] DEBUG utilidades.UtilesEstudiantes - Estudiante [nombre=Manolo, edad=13, idEstudiante=003, curso=2º ESO]
2024-11-09 11:09:15.619 [main] DEBUG utilidades.UtilesEstudiantes - Estudiante [nombre=Laura, edad=19, idEstudiante=004, curso=2º Carrera]
2024-11-09 11:09:15.619 [main] DEBUG utilidades.UtilesEstudiantes - Estudiante [nombre=Esteba, edad=30, idEstudiante=005, curso=Trabajando]
2024-11-09 11:09:15.620 [main] DEBUG utilidades.UtilesEstudiantes - Estudiante [nombre=Paco, edad=17, idEstudiante=001, curso=1º Bchillerato]
2024-11-09 18:49:44.045 [main] DEBUG utilidades.UtilesEstudiantes - Estudiante [nombre=Maria, edad=19, idEstudiante=002, curso=2º Carrera]
2024-11-09 18:49:44.047 [main] DEBUG utilidades.UtilesEstudiantes - Estudiante [nombre=Manolo, edad=13, idEstudiante=003, curso=2º ESO]
2024-11-09 18:49:44.047 [main] DEBUG utilidades.UtilesEstudiantes - Estudiante [nombre=Laura, edad=19, idEstudiante=004, curso=2º Carrera]
2024-11-09 18:49:44.047 [main] DEBUG utilidades.UtilesEstudiantes - Estudiante [nombre=Esteba, edad=30, idEstudiante=005, curso=Trabajando]
2024-11-09 18:49:44.048 [main] DEBUG utilidades.UtilesEstudiantes - Estudiante [nombre=Paco, edad=17, idEstudiante=001, curso=1º Bchillerato]
2024-11-09 18:50:20.572 [main] DEBUG utilidades.UtilesEstudiantes - Estudiante [nombre=Maria, edad=19, idEstudiante=002, curso=2º Carrera]
2024-11-09 18:50:20.573 [main] DEBUG utilidades.UtilesEstudiantes - Estudiante [nombre=Manolo, edad=13, idEstudiante=003, curso=2º ESO]
2024-11-09 18:50:20.573 [main] DEBUG utilidades.UtilesEstudiantes - Estudiante [nombre=Laura, edad=19, idEstudiante=004, curso=2º Carrera]
2024-11-09 18:50:20.574 [main] DEBUG utilidades.UtilesEstudiantes - Estudiante [nombre=Esteba, edad=30, idEstudiante=005, curso=Trabajando]
2024-11-09 18:50:20.574 [main] DEBUG utilidades.UtilesEstudiantes - Estudiante [nombre=Paco, edad=17, idEstudiante=001, curso=1º Bchillerato]
2024-11-09 18:52:12.917 [main] DEBUG utilidades.UtilesEstudiantes - Estudiante [nombre=Maria, edad=19, idEstudiante=002, curso=2º Carrera]
2024-11-09 18:52:12.919 [main] DEBUG utilidades.UtilesEstudiantes - Estudiante [nombre=Manolo, edad=13, idEstudiante=003, curso=2º ESO]
2024-11-09 18:52:12.919 [main] DEBUG utilidades.UtilesEstudiantes - Estudiante [nombre=Laura, edad=19, idEstudiante=004, curso=2º Carrera]
2024-11-09 18:52:12.919 [main] DEBUG utilidades.UtilesEstudiantes - Estudiante [nombre=Esteba, edad=30, idEstudiante=005, curso=Trabajando]
2024-11-09 18:52:12.920 [main] DEBUG utilidades.UtilesEstudiantes - Estudiante [nombre=Paco, edad=17, idEstudiante=001, curso=1º Bchillerato]
2024-11-09 20:23:46.017 [main] DEBUG utilidades.UtilesEstudiantes - Estudiante [nombre=Maria, edad=19, idEstudiante=002, curso=2º Carrera]
2024-11-09 20:23:46.019 [main] DEBUG utilidades.UtilesEstudiantes - Estudiante [nombre=Manolo, edad=13, idEstudiante=003, curso=2º ESO]
2024-11-09 20:23:46.019 [main] DEBUG utilidades.UtilesEstudiantes - Estudiante [nombre=Laura, edad=19, idEstudiante=004, curso=2º Carrera]
2024-11-09 20:23:46.019 [main] DEBUG utilidades.UtilesEstudiantes - Estudiante [nombre=Esteba, edad=30, idEstudiante=005, curso=Trabajando]
2024-11-09 20:23:46.020 [main] DEBUG utilidades.UtilesEstudiantes - Estudiante [nombre=Paco, edad=17, idEstudiante=001, curso=1º Bchillerato]
